fund_name,stock_url,Stock_Invested_in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest_Holding,1Y_Lowest_Holding,Quantity,1M_Change_in_Qty,Stock Invested in,1Y_Highest Holding,1Y_Lowest Holding,1m_change1
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,660.6,2.56%,0.47%,2.56% (Aug 2023),1.59% (Nov 2022),1.79 L,0.00,,,,0.47
SBI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03,Chalet Hotels Ltd.,Hotels & resorts,5356.0,2.56%,0.19%,2.56% (Aug 2023),2.2% (Dec 2022),97.17 L,0.00,,,,0.19
SBI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/vguardindustries/VI02,V-Guard Industries Ltd.,Household appliances,5344.0,2.56%,0.15%,2.93% (Oct 2022),2.41% (Jul 2023),1.70 Cr,0.00,,,,0.15
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/prajindustries/PI17,Praj Industries Ltd.,Industrial products,162.5,2.53%,0.45%,2.53% (Aug 2023),1.25% (Dec 2022),3.30 L,40.15 k,,,,0.45
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03,Kirloskar Oil Engines Ltd.,"Compressors, pumps & diesel engines",43.1,2.53%,0.07%,2.53% (Aug 2023),1.41% (Sep 2022),89.05 k,0.00,,,,0.07
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,666.8,2.53%,0.07%,2.71% (Apr 2023),2.23% (Dec 2022),2.46 L,0.00,,,,0.07
Tata Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/finance-investment/utiassetmanagementcompany/UA04,UTI Asset Management Co. Pvt. Ltd.,Asset management company,1547.0,2.52%,0.08%,3.27% (Jan 2023),2.33% (Oct 2022),19.66 L,0.00,,,,0.08
Tata Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/elantasbeckindia/EBI,Elantas Beck India Ltd.,Specialty chemicals,1511.5,2.51%,0.30%,2.93% (Sep 2022),2.21% (Jul 2023),2.12 L,13.94 k,,,,0.3
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pumps/ksb/KSB,Ksb Pumps Ltd.,"Compressors, pumps & diesel engines",160.5,2.50%,0.78%,2.5% (Aug 2023),1.18% (Jan 2023),57.50 k,12.50 k,,,,0.78
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL,Ipca Laboratories Ltd.,Pharmaceuticals,3021.8,2.50%,0.17%,2.5% (Sep 2023),1.76% (May 2023),32.30 L,0.00,,,,0.17
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/globalhealth/GH03,Global Health Ltd.,Hospital,690.7,2.50%,0.28%,2.5% (Sep 2023),0% (Oct 2022),9.65 L,1.39 L,,,,0.28
HSBC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/cerasanitaryware/CS18,Cera Sanitaryware Ltd.,Sanitary ware,2892.3,2.50%,0.33%,2.5% (Aug 2023),1.85% (Dec 2022),3.04 L,-5.00 k,,,,0.33
