Stock Invested in,count
Birlasoft Ltd.,2
Chalet Hotels Ltd.,2
Cholamandalam Financial Holdings Ltd.,4
CreditAccess Grameen Ltd.,6
Equitas Small Finance Bank Ltd.,3
Infrastructure Development Finance Company Limited,2
KEI Industries Ltd.,2
Krishna Institute of Medical Sciences Ltd.,2
Radico Khaitan Ltd.,3
Ratnamani Metals & Tubes Ltd.,2
Syrma SGS Technology Ltd.,3
