fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04,ICICI Securities Ltd.,Stockbroking & allied,576.3,2.34%,2.34%,2.34% (Jul 2023),0% (Aug 2022),9.07 L,9.07 L,2.34
Tata Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,2375.0,4.18%,0.26%,4.51% (Oct 2022),3.08% (Aug 2022),2.00 Cr,0.00,0.26
HDFC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,6124.1,2.91%,0.12%,2.96% (Jan 2023),2.19% (Aug 2022),5.16 Cr,0.00,0.12
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,731.3,3.20%,0.04%,3.2% (Jul 2023),0% (Aug 2022),2.92 L,0.00,0.04
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,105.5,6.45%,0.20%,6.45% (Jul 2023),4.08% (Sep 2022),43.42 k,0.00,0.2
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,142.4,2.39%,0.31%,2.39% (Jul 2023),1.74% (Nov 2022),58.60 k,10.00 k,0.31
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,KPIT Technologies Ltd.,Computers - software & consulting,264.1,1.91%,0.59%,1.91% (Jul 2023),1.27% (Apr 2023),2.44 L,87.21 k,0.59
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaynestechnologyindia/KTI,Kaynes Technology India Private Ltd.,Industrial products,152.3,2.56%,0.08%,2.76% (May 2023),0% (Aug 2022),84.00 k,-5.00 k,0.08
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/krishnainstitutemedicalsciences/KIo01,Krishna Institute of Medical Sciences Ltd.,Hospital,769.3,3.36%,0.01%,3.36% (Jul 2023),0% (Aug 2022),4.02 L,-8.57 k,0.01
Axis Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/krishnainstitutemedicalsciences/KIo01,Krishna Institute of Medical Sciences Ltd.,Hospital,4649.3,3.09%,0.04%,3.41% (Sep 2022),2.79% (Aug 2022),24.29 L,0.00,0.04
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-castingsforgings/cieautomotiveindia/MF19,Mahindra CIE Automotive Ltd.,Auto components & equipments,551.4,2.26%,0.08%,2.26% (Jul 2023),0% (Aug 2022),10.81 L,1.89 L,0.08
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/mahindralifespacedevelopers/MLD,Mahindra Lifespace Developers Ltd.,"Residential, commercial projects",1473.3,2.26%,0.07%,3.2% (Aug 2022),1.98% (Dec 2022),28.49 L,0.00,0.07
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/media-entertainment/pvrinox/PVR,PVR Ltd.,"Film production, distribution & exhibition",2305.6,3.54%,0.29%,3.94% (Mar 2023),0% (Aug 2022),14.81 L,50.00 k,0.29
Tata Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/radicokhaitan/RK01,Radico Khaitan Ltd.,Breweries & distilleries,1914.0,3.37%,0.32%,4.12% (Feb 2023),1.95% (Dec 2022),13.19 L,0.00,0.32
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/radicokhaitan/RK01,Radico Khaitan Ltd.,Breweries & distilleries,164.7,2.77%,1.30%,2.77% (Jul 2023),0% (Aug 2022),1.14 L,47.50 k,1.3
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/radicokhaitan/RK01,Radico Khaitan Ltd.,Breweries & distilleries,616.6,2.50%,0.05%,2.89% (Mar 2023),2.38% (Dec 2022),4.25 L,-0.50 L,0.05
Kotak Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/ratnamanimetalstubes/RMT,Ratnamani Metals & Tubes Ltd.,Iron & steel products,3815.3,3.29%,0.31%,3.69% (Jan 2023),2.98% (Jun 2023),14.27 L,7.46 k,0.31
DSP Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/ratnamanimetalstubes/RMT,Ratnamani Metals & Tubes Ltd.,Iron & steel products,3360.0,2.88%,0.12%,3.74% (Jan 2023),2.76% (Jun 2023),12.57 L,-0.50 L,0.12
Union Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syrmasgstechnology/SST06,Syrma SGS Technology Ltd.,Industrial products,303.3,3.11%,0.05%,3.11% (Jul 2023),0% (Aug 2022),6.08 L,0,0.05
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syrmasgstechnology/SST06,Syrma SGS Technology Ltd.,Industrial products,126.3,2.12%,0.03%,2.12% (Jul 2023),0% (Aug 2022),2.53 L,0.00,0.03
Bandhan Emerging Businesses Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syrmasgstechnology/SST06,Syrma SGS Technology Ltd.,Industrial products,314.2,1.68%,0.07%,1.68% (Jul 2023),0.97% (Aug 2022),6.29 L,0.00,0.07
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23,Timken India Ltd.,Abrasives & bearings,70.9,4.33%,0.04%,4.33% (Jul 2023),3.87% (Oct 2022),20.15 k,0.00,0.04
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotel-resort-restaurants/westlifefoodworld/DIC,Westlife Development Ltd.,Restaurants,693.1,2.81%,0.11%,3.22% (Dec 2022),2.61% (Aug 2022),7.40 L,0.00,0.11
