Stock Invested in,count
Birlasoft Ltd.,3
Cholamandalam Financial Holdings Ltd.,4
CreditAccess Grameen Ltd.,7
Equitas Small Finance Bank Ltd.,3
Radico Khaitan Ltd.,3
Ratnamani Metals & Tubes Ltd.,3
Syrma SGS Technology Ltd.,3
