Stock Invested in,count
AIA Engineering Ltd.,4
Alkem Laboratories Ltd.,4
Balkrishna Industries Ltd.,5
Bharat Forge Ltd.,3
Coromandel International Ltd.,5
Federal Bank Ltd.,15
Fortis Healthcare Ltd.,3
Indian Bank,4
Kajaria Ceramics Ltd.,6
Lupin Ltd.,3
Phoenix Mills Ltd.,5
Polycab India Limited,4
Power Finance Corporation Ltd.,4
Rural Electrification Corporation Limited,3
Shriram Finance Ltd.,4
Supreme Industries Ltd.,5
Tata Communications Ltd.,5
Thermax Ltd.,3
